date,population
2016,1975.5703125
2017,2650.0927734375
2018,3136.898681640625
2019,2812.3505859375
2020,2668.12841796875
2021,6046.56884765625
2022,4794.58984375
2023,9368.6767578125
2024,12018.6171875
2025,8144.38232421875
