date,population
2016,5188.3193359375
2017,8606.4833984375
2018,7631.615234375
2019,7643.73193359375
2020,7375.31787109375
2021,7948.9326171875
2022,6199.861328125
2023,6372.56298828125
2024,7068.87744140625
2025,6424.14111328125
