date,population
2016,884.47412109375
2017,5006.5908203125
2018,1188.6405029296875
2019,4205.8740234375
2020,2416.964599609375
2021,3309.992919921875
2022,5391.3486328125
2023,15247.845703125
2024,27764.345703125
2025,17705.32421875
