date,population
2016,10114.24609375
2017,10401.611328125
2018,13984.0869140625
2019,19627.787109375
2020,17445.177734375
2021,28587.345703125
2022,23291.830078125
2023,23979.056640625
2024,24293.7890625
2025,27207.677734375
